ing,ing_func,cir,ewg
Algae Extract,"['Emollient', 'Fragrance', 'Humectant', 'Skin Conditioning']",nan,1.0
Zanthoxylum Alatum Fruit Extract,"['Masking', 'Skin Conditioning']",nan,1.0
Glycolipids,['Skin Conditioning'],nan,1.0
Glycereth-7 Triacetate,['Emollient'],nan,1.0
Dimethiconol,"['Antifoaming Agent', 'Emollient', 'Moisturising', 'Skin Conditioning']",A,1.0
Disodium EDTA,"['Chelating Agent', 'Viscosity Controlling']",A,1.0
Dipotassium Glycyrrhizate,"['Flavoring Agent', 'Humectant', 'Skin Conditioning']",A,1.0
Lavandula Angustifolia (Lavender) Extract,"['Fragrance', 'Perfuming', 'Skin Conditioning', 'Skin-Conditioning Agent -Occlusive']",nan,1.0
Aniba Rosaeodora (Rosewood) Wood Oil,[''],nan,1.0
Magnesium Sulfate,"['Bulking Agent', 'Hair Conditioning', 'Viscosity Controlling']",A,1.0
Cucumis Sativus (Cucumber) Fruit Extract,"['Emollient', 'Skin Conditioning']",A,1.0
Artemisia Vulgaris Extract,['Skin Conditioning'],nan,1.0
Alnus Firmifolia Fruit Extract,['Skin Conditioning'],nan,1.0
Camellia Oleifera Leaf Extract,"['Astringent', 'Skin Conditioning']",nan,1.0
Rose Flower Oil,['Fragrance'],nan,1.0
Water,['Solvent'],nan,1.0
Geranium Maculatum Oil,"['Masking', 'Tonic']",nan,1.0
Carbomer,"['Emulsion Stabilising', 'Gel Forming', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Calcium Aluminum Borosilicate,['Bulking Agent'],A,1.0
Butylene Glycol,"['Fragrance', 'Humectant', 'Masking', 'Skin Conditioning', 'Solvent', 'Viscosity Controlling', 'Viscositydecreasing Agent']",A,1.0
Sodium Hyaluronate,"['Humectant', 'Skin Conditioning']",A,1.0
Cymbopogon Martini Oil,"['Masking', 'Skin Conditioning', 'Tonic']",nan,1.0
Hydrolyzed Algin,['Hair Conditioning'],nan,1.0
Chamomilla Recutita (Matricaria) Extract,['Cosmetic Biocide'],B,1.0
Manganese Sulfate,['Skin Conditioning'],nan,3.0
Benzophenone-4,"['Uv Absorber', 'Uv Filter']",A,3.0
